http://fx.sauder.ubc.ca/data.html
"PACIFIC Exchange Rate Service"
"MMM YYYY","DZD/USD","ARS/USD","AUD/USD","ATS/USD","BSD/USD","BHD/USD","BBD/USD","BEF/USD","BMD/USD","BRL/USD","GBP/USD","BGN/USD","CAD/USD","CLP/USD","CNY/USD","COP/USD","HRK/USD","CYP/USD","CZK/USD","DKK/USD"
"Jan 1971",,,,,,,,49.642,,,0.41568,,1.01183,,,,,,,
"Feb 1971",,,,,,,,49.631,,,0.41361,,1.00745,,,,,,,
"Mar 1971",,,,,,,,49.640,,,0.41344,,1.00637,,,,,,,
"Apr 1971",,,,,,,,49.642,,,0.41358,,1.00768,,,,,,,
"May 1971",,,,,,,,49.593,,,0.41343,,1.00870,,,,,,,
"Jun 1971",,,,,,,,49.728,,,0.41342,,1.02133,,,,,,,
"Jul 1971",,,,,,,,49.670,,,0.41348,,1.02133,,,,,,,
"Aug 1971",,,,,,,,49.146,,,0.41076,,1.01302,,,,,,,
"Sep 1971",,,,,,,,47.805,,,0.40497,,1.01300,,,,,,,
"Oct 1971",,,,,,,,46.856,,,0.40167,,1.00471,,,,,,,
"Nov 1971",,,,,,,,46.357,,,0.40107,,1.00395,,,,,,,
"Dec 1971",,,,,,,,45.485,,,0.39582,,0.99933,,,,,,,
"Jan 1972",,,,,,,,44.419,,,0.38906,,1.00593,,,,,,,
"Feb 1972",,,,,,,,43.842,,,0.38409,,1.00474,,,,,,,
"Mar 1972",,,,,,,,43.942,,,0.38198,,0.99848,,,,,,,
"Apr 1972",,,,,,,,44.106,,,0.38311,,0.99572,,,,,,,
"May 1972",,,,,,,,43.981,,,0.38279,,0.98894,,,,,,,
"Jun 1972",,,,,,,,43.941,,,0.38941,,0.97952,,,,,,,
"Jul 1972",,,,,,,,43.832,,,0.40905,,0.98395,,,,,,,
"Aug 1972",,,,,,,,43.870,,,0.40812,,0.98242,,,,,,,
"Sep 1972",,,,,,,,43.972,,,0.40965,,0.98300,,,,,,,
"Oct 1972",,,,,,,,44.171,,,0.41765,,0.98274,,,,,,,
"Nov 1972",,,,,,,,44.081,,,0.42525,,0.98737,,,,,,,
"Dec 1972",,,,,,,,44.113,,,0.42647,,0.99676,,,,,,,
"Jan 1973",,,,,,,,44.122,,,0.42441,,0.99929,,,,,,,
"Feb 1973",,,,,,,,41.770,,,0.41209,,0.99564,,,,,,,
"Mar 1973",,,,,,,,39.409,,,0.40448,,0.99669,,,,,,,
"Apr 1973",,,,,,,,40.169,,,0.40261,,1.00072,,,,,,,
"May 1973",,,,,,,,39.451,,,0.39521,,1.00075,,,,,,,
"Jun 1973",,,,,,,,37.542,,,0.38816,,0.99840,,,,,,,
"Jul 1973",,,,,,,,35.531,,,0.39414,,0.99952,,,,,,,
"Aug 1973",,,,,,,,37.008,,,0.40397,,1.00397,,,,,,,
"Sep 1973",,,,,,,,36.918,,,0.41351,,1.00826,,,,,,,
"Oct 1973",,,,,,,,36.594,,,0.41168,,1.00112,,,,,,,
"Nov 1973",,,,,,,,38.660,,,0.41902,,0.99909,,,,,,,
"Dec 1973",,,,,,,,40.448,,,0.43152,,0.99942,,,,,,,
"Jan 1974",,,,,,,,42.871,,,0.44978,,0.99150,,,,,,,
"Feb 1974",,,,,,,,41.063,,,0.43964,,0.97661,,,,,,,
"Mar 1974",,,,,,,,39.941,,,0.42731,,0.97204,,,,,,,
"Apr 1974",,,,,,,,38.946,,,0.41869,,0.96756,,,,,,,
"May 1974",,,,,,,,37.655,,,0.41432,,0.96232,,,,,,,
"Jun 1974",,,,,,,,37.928,,,0.41839,,0.96637,,,,,,,
"Jul 1974",,,,,,,,37.911,,,0.41849,,0.97635,,,,,,,
"Aug 1974",,,,,,,,38.741,,,0.42637,,0.97989,,,,,,,
"Sep 1974",,,,,,,,39.426,,,0.43168,,0.98635,,,,,,,
"Oct 1974",,,,,,,,38.555,,,0.42864,,0.98302,,,,,,,
"Nov 1974",,,,,,,,37.698,,,0.43009,,0.98737,,,,,,,
"Dec 1974",,,,,,,,36.826,,,0.42931,,0.98823,,,,,,,
"Jan 1975",,,,,,,,35.480,,,0.42334,,0.99478,,,,,,,
"Feb 1975",,,,,,,,34.785,,,0.41743,,1.00043,,,,,,,
"Mar 1975",,,,,,,,34.384,,,0.41358,,1.00046,,,,,,,
"Apr 1975",,,,,,,,35.172,,,0.42185,,1.01102,,,,,,,
"May 1975",,,,,,,,34.928,,,0.43096,,1.02859,,,,,,,
"Jun 1975",,,,,,,,34.962,,,0.43862,,1.02642,,,,,,,
"Jul 1975",,,,,,,,36.891,,,0.45778,,1.03089,,,,,,,
"Aug 1975",,,,,,,,38.272,,,0.47298,,1.03541,,,,,,,
"Sep 1975",,,,,,,,39.250,,,0.48007,,1.02631,,,,,,,
"Oct 1975",,,,,,,,38.973,,,0.48620,,1.02505,,,,,,,
"Nov 1975",,,,,,,,39.036,,,0.48821,,1.01389,,,,,,,
"Dec 1975",,,,,,,,39.509,,,0.49455,,1.01393,,,,,,,
"Jan 1976",,,,,,,,39.303,,,0.49296,,1.00648,,,,,,,
"Feb 1976",,,,,,,,39.134,,,0.49354,,0.99354,,,,,,,
"Mar 1976",,,,,,,,39.249,,,0.51494,,0.98589,,,,,,,
"Apr 1976",,,,,,,,38.962,,,0.54166,,0.98360,,,,,,,
"May 1976",,,,,,,,39.193,,,0.55321,,0.98019,,,,,,,
"Jun 1976",,,,,,,,39.651,,,0.56697,,0.97361,,,,,,,
"Jul 1976",,,,,,,,39.713,,,0.56023,,0.97223,,,,,,,
"Aug 1976",,,,,,,,39.014,,,0.56091,,0.98537,,,,,,,
"Sep 1976",,,,,,,,38.397,,,0.57928,,0.97507,,,,,,,
"Oct 1976",,,,,,,,37.285,,,0.61082,,0.97271,,,,,,,
"Nov 1976",,,,,,,,36.973,,,0.61057,,0.98588,,,,,,,
"Dec 1976",,,,,,,,36.387,,,0.59585,,1.01833,,,,,,,
"Jan 1977",,,,,,,,36.705,,,0.58397,,1.01029,,,,,,,
"Feb 1977",,,,,,,,36.881,,,0.58469,,1.02785,,,,,,,
"Mar 1977",,,,,,,,36.687,,,0.58227,,1.05126,,,,,,,
"Apr 1977",,,,,,,,36.352,,,0.58172,,1.05150,,,,,,,
