http://fx.sauder.ubc.ca/data.html
"PACIFIC Exchange Rate Service"
"MMM YYYY","PHP/USD","XPT/USD","PLN/USD","PTE/USD","RON/USD","RUB/USD","SAR/USD","RSD/USD","XAG/USD","SGD/USD","SKK/USD","SIT/USD","ZAR/USD","KRW/USD","ESP/USD","XDR/USD","LKR/USD","SDD/USD","SEK/USD","CHF/USD"
"Jan 1971",,,,,,,,,,,,,,,,,,,5.1639,4.30530
"Feb 1971",,,,,,,,,,,,,,,,,,,5.1721,4.29806
"Mar 1971",,,,,,,,,,,,,,,,,,,5.1622,4.30026
"Apr 1971",,,,,,,,,,,,,,,,,,,5.1630,4.29860
"May 1971",,,,,,,,,,,,,,,,,,,5.1676,4.12411
"Jun 1971",,,,,,,,,,,,,,,,,,,5.1623,4.09382
"Jul 1971",,,,,,,,,,,,,,,,,,,5.1630,4.09459
"Aug 1971",,,,,,,,,,,,,,,,,,,5.1292,4.03058
"Sep 1971",,,,,,,,,,,,,,,,,,,5.0679,3.98121
"Oct 1971",,,,,,,,,,,,,,,,,,,5.0230,3.97507
"Nov 1971",,,,,,,,,,,,,,,,,,,5.0022,3.98350
"Dec 1971",,,,,,,,,,,,,,,,,,,4.8935,3.90412
"Jan 1972",,,,,,,,,,,,,,,,,,,4.8241,3.89227
"Feb 1972",,,,,,,,,,,,,,,,,,,4.7961,3.86116
"Mar 1972",,,,,,,,,,,,,,,,,,,4.7714,3.85676
"Apr 1972",,,,,,,,,,,,,,,,,,,4.7829,3.85091
"May 1972",,,,,,,,,,,,,,,,,,,4.7541,3.86051
"Jun 1972",,,,,,,,,,,,,,,,,,,4.7395,3.79974
"Jul 1972",,,,,,,,,,,,,,,,,,,4.7318,3.76496
"Aug 1972",,,,,,,,,,,,,,,,,,,4.7255,3.78087
"Sep 1972",,,,,,,,,,,,,,,,,,,4.7282,3.78742
"Oct 1972",,,,,,,,,,,,,,,,,,,4.7442,3.79768
"Nov 1972",,,,,,,,,,,,,,,,,,,4.7448,3.79556
"Dec 1972",,,,,,,,,,,,,,,,,,,4.7436,3.77001
"Jan 1973",,,,,,,,,,,,,,,63.473,,,,4.7407,3.72935
"Feb 1973",,,,,,,,,,,,,,,61.221,,,,4.5620,3.41701
"Mar 1973",,,,,,,,,,,,,,,58.197,,,,4.4307,3.21712
"Apr 1973",,,,,,,,,,,,,,,58.083,,,,4.5118,3.24060
"May 1973",,,,,,,,,,,,,,,58.059,,,,4.4330,3.17280
"Jun 1973",,,,,,,,,,,,,,,58.042,,,,4.2128,3.05317
"Jul 1973",,,,,,,,,,,,,,,57.525,,,,4.0442,2.82336
"Aug 1973",,,,,,,,,,,,,,,56.973,,,,4.1556,2.97337
"Sep 1973",,,,,,,,,,,,,,,56.786,,,,4.2071,3.01698
"Oct 1973",,,,,,,,,,,,,,,56.898,,,,4.1771,3.02889
"Nov 1973",,,,,,,,,,,,,,,57.213,,,,4.3471,3.16472
"Dec 1973",,,,,,,,,,,,,,,56.913,,,,4.5393,3.20000
"Jan 1974",,,,,,,,,,,,,,,58.136,,,,4.8137,3.36441
"Feb 1974",,,,,,,,,,,,,,,59.057,,,,4.6797,3.17633
"Mar 1974",,,,,,,,,,,,,,,59.079,,,,4.5639,3.07876
"Apr 1974",,,,,,,,,,,,,,,58.550,,,,4.3999,3.02699
"May 1974",,,,,,,,,,,,,,,57.441,,,,4.2766,2.91725
"Jun 1974",,,,,,,,,,,,,,,57.308,,,,4.3695,2.98988
"Jul 1974",,,,,,,,,,,,,,,57.061,,,,4.3740,2.96420
"Aug 1974",,,,,,,,,,,,,,,57.254,,,,4.4260,2.98462
"Sep 1974",,,,,,,,,,,,,,,57.672,,,,4.4780,2.99670
"Oct 1974",,,,,,,,,,,,,,,57.336,,,,4.3950,2.89657
"Nov 1974",,,,,,,,,,,,,,,57.072,,,,4.3148,2.75029
"Dec 1974",,,,,,,,,,,,,,,56.449,,,,4.1848,2.60282
"Jan 1975",,,,,,,,,,,,,,,56.182,,,,4.0406,2.52784
"Feb 1975",,,,,,,,,,,,,,,56.234,,,,3.9762,2.47312
"Mar 1975",,,,,,,,,,,,,,,55.844,,,,3.9242,2.48354
"Apr 1975",,,,,,,,,,,,,,,56.321,,,,3.9728,2.55893
"May 1975",,,,,,,,,,,,,,,55.957,,,,3.9335,2.50961
"Jun 1975",,,,,,,,,,,,,,,55.797,,,,3.9165,2.49464
"Jul 1975",,,,,,,,,,,,,,,57.326,,,,4.1330,2.61422
"Aug 1975",,,,,,,,,,,,,,,58.343,,,,4.3147,2.67872
"Sep 1975",,,,,,,,,,,,,,,59.130,,,,4.4447,2.70988
"Oct 1975",,,,,,,,,,,,,,,59.231,,,,4.3928,2.66309
"Nov 1975",,,,,,,,,,,,,,,59.282,,,,4.3883,2.65378
"Dec 1975",,,,,,,,,,,,,,,59.648,,,,4.4083,2.63371
"Jan 1976",,,,,,,,,,,,,,,59.697,,,,4.3800,2.60300
"Feb 1976",,,,,,,,,,,,,,,64.560,,,,4.3748,2.57001
"Mar 1976",,,,,,,,,,,,,,,66.903,,,,4.4052,2.56564
"Apr 1976",,,,,,,,,,,,,,,67.279,,,,4.4038,2.52965
"May 1976",,,,,,,,,,,,,,,67.624,,,,4.4152,2.48736
"Jun 1976",,,,,,,,,,,,,,,67.918,,,,4.4506,2.47043
"Jul 1976",,,,,,,,,,,,,,,68.095,,,,4.4681,2.48500
"Aug 1976",,,,,,,,,,,,,,,68.253,,,,4.4117,2.48129
"Sep 1976",,,,,,,,,,,,,,,67.932,,,,4.3479,2.47334
"Oct 1976",,,,,,,,,,,,,,,68.144,,,,4.2522,2.44647
"Nov 1976",,,,,,,,,,,,,,,68.371,,,,4.2206,2.44155
"Dec 1976",,,,,,,,,,,,,,,68.333,,,,4.1579,2.44959
"Jan 1977",,,,,,,,,,,,,,,68.604,,,,4.2140,2.49240
"Feb 1977",,,,,,,,,,,,,,,69.086,,,,4.2469,2.52090
"Mar 1977",,,,,,,,,,,,,,,68.825,,,,4.2137,2.55048
"Apr 1977",,,,,,,,,,,,,,,68.797,,,,4.3482,2.52645
"May 1977",,,,,,,,,,,,,,,69.010,,,,4.3547,2.51932
"Jun 1977",,,,,,,,,,,,,,,69.427,,,,4.4196,2.48945
"Jul 1977",,,,,,,,,,,,,,,81.469,,,,4.3504,2.41052
"Aug 1977",,,,,,,,,,,,,,,84.722,,,,4.4551,2.40844
"Sep 1977",,,,,,,,,,,,,,,84.577,,,,4.8540,2.37452
"Oct 1977",,,,,,,,,,,,,,,84.019,,,,4.7977,2.27801
"Nov 1977",,,,,,,,,,,,,,,82.918,,,,4.7975,2.19775
"Dec 1977",,,,,,,,,,,,,,,81.720,,,,4.7525,2.07719
"Jan 1978",,,,,,,,,,,,,,,80.664,,,,4.6712,1.98634
"Feb 1978",,,,,,,,,,,,,,,80.685,,,,4.6379,1.90948
"Mar 1978",,,,,,,,,,,,,,,80.018,,,,4.6090,1.89855
"Apr 1978",,,,,,,,,,,,,,,80.166,,,,4.6025,1.90522
"May 1978",,,,,,,,,,,,,,,81.190,,,,4.6528,1.96522
"Jun 1978",,,,,,,,,,,,,,,79.452,,,,4.6101,1.88540
"Jul 1978",,,,,,,,,,,,,,,77.611,,,,4.5439,1.80401
"Aug 1978",,,,,,,,,,,,,,,74.951,,,,4.4410,1.66717
"Sep 1978",,,,,,,,,,,,,,,73.506,,,,4.4255,1.56971
"Oct 1978",,,,,,,,,,,,,,,69.875,,,,4.2848,1.53647
"Nov 1978",,,,,,,,,,,,,,,71.174,,,,4.3751,1.67497
"Dec 1978",,,,,,,,,,,,,,,71.003,,,,4.3855,1.67566
"Jan 1979",,,,,,,,,,,,,,,69.963,,,,4.3518,1.67136
"Feb 1979",,,,,,,,,,,,,,,69.314,,,,4.3674,1.67518
"Mar 1979",,,,,,,,,,,,,,,69.013,,,,4.3663,1.68146
"Apr 1979",,,,,,,,,,,,,,,68.134,,,,4.3916,1.71768
"May 1979",,,,,,,,,,,,,,,66.088,,,,4.3945,1.72733
"Jun 1979",,,,,,,,,,,,,,,66.088,,,,4.3418,1.69895
"Jul 1979",,,,,,,,,,,,,,,66.147,,,,4.2215,1.64888
"Aug 1979",,,,,,,,,,,,,,,66.085,,,,4.2204,1.65704
"Sep 1979",,,,,,,,,,,,,,,66.071,,,,4.1920,1.61132
"Oct 1979",,,,,,,,,,,,,,,66.152,,,,4.2116,1.63086
"Nov 1979",,,,,,,,,,,,,,,66.442,,,,4.2226,1.64292
"Dec 1979",,,,,,,,,,,,,,,66.494,,,,4.1779,1.59900
"Jan 1980",,,,,,,,,,,,,,,66.121,,,,4.1475,1.59529
"Feb 1980",,,,,,,,,,,,,,,66.643,,,,4.1710,1.64062
"Mar 1980",,,,,,,,,,,,,,,69.259,,,,4.3474,1.76429
"Apr 1980",,,,,,,,,,,,,,,71.862,,,,4.3746,1.76144
"May 1980",,,,,,,,,,,,,,,70.905,,,,4.2138,1.66315
"Jun 1980",,,,,,,,,,,,,,,70.027,,,,4.1671,1.63385
"Jul 1980",,,,,,,,,,,,,,,70.813,,,,4.1258,1.60781
"Aug 1980",,,,,,,,,,,,,,,72.414,,,,4.1749,1.65222
"Sep 1980",,,,,,,,,,,,,,,73.324,,,,4.1535,1.63909
"Oct 1980",,,,,,,,,,,,,,,74.502,,,,4.1943,1.66191
"Nov 1980",,,,,,,,,,,,,,,76.428,,,,4.3040,1.72595
"Dec 1980",,,,,,,,,,,,,,,79.030,,,,4.4023,1.78537
"Jan 1981",,,,,,,,,,2.0812,,,,,80.603,,,,4.4482,1.82236
