http://fx.sauder.ubc.ca/data.html
"PACIFIC Exchange Rate Service"
"MMM YYYY","TWD/USD","THB/USD","TTD/USD","TND/USD","TRY/USD","AED/USD","UYU/USD","VEF/USD","VND/USD","ZMW/USD","ZMK/USD"
"Oct 1983",39.420,,,,,,,,,,
"Nov 1983",38.780,,,,,,,,,,
"Dec 1983",39.613,,,,,,,,,,
"Jan 1984",40.206,,,,,,,,,,
"Feb 1984",40.236,,,,,,,,,,
"Mar 1984",40.078,,,,,,,,,,
"Apr 1984",39.784,,,,,,,,,,
"May 1984",39.716,,,,,,,,,,
"Jun 1984",39.844,,,,,,,,,,
"Jul 1984",39.477,,,,,,,,,,
"Aug 1984",39.091,,,,,,,,,,
"Sep 1984",39.160,,,,,,,,,,
"Oct 1984",39.225,,,,,,,,,,
"Nov 1984",39.419,,,,,,,,,,
"Dec 1984",39.509,,,,,,,,,,
"Jan 1985",39.209,,,,,,,,,,
"Feb 1985",39.228,,,,,,,,,,
"Mar 1985",39.544,,,,,,,,,,
"Apr 1985",39.728,,,,,,,,,,
"May 1985",39.905,,,,,,,,,,
"Jun 1985",39.857,,,,,,,,,,
"Jul 1985",40.137,,,,,,,,,,
"Aug 1985",40.500,,,,,,,,,,
"Sep 1985",40.465,,,,,,,,,,
"Oct 1985",40.195,,,,,,,,,,
"Nov 1985",39.982,,,,,,,,,,
"Dec 1985",39.905,,,,,,,,,,
"Jan 1986",39.405,,,,,,,,,,
"Feb 1986",39.239,,,,,,,,,,
"Mar 1986",39.028,,,,,,,,,,
"Apr 1986",38.690,,,,,,,,,,
"May 1986",38.461,,,,,,,,,,
"Jun 1986",38.163,,,,,,,,,,
"Jul 1986",38.120,,,,,,,,,,
"Aug 1986",37.423,,,,,,,,,,
"Sep 1986",36.885,,,,,,,,,,
"Oct 1986",36.647,,,,,,,,,,
"Nov 1986",36.438,,,,,,,,,,
"Dec 1986",36.001,,,,,,,,,,
"Jan 1987",35.304,,,,,,,,,,
"Feb 1987",35.056,,,,,,,,,,
"Mar 1987",34.681,,,,,,,,,,
