rgn,World Regions,http://www.statoids.com/wfipshis.html
elevtn,Country Elevations,https://en.wikipedia.org/wiki/List_of_elevation_extremes_by_country
ebtyp,Enumeration Constants,
nsvgn,Non Sovereign Country,
unsdldc,UNSD Least Developed Country,
unsdlldc,UNSD Landlocked Developing Country,
unsdsidc,UNSD Small Island Developing Country,
wbingp,World Bank Income Group,https://unstats.un.org/unsd/mi/developed_new.htm
cptl,Capitals,
cntrynm,Country Names (Languages),
lgstr,Legislature,
crncy,Currency,
cptlnm,Capital Names,
pc,Postal Codes,
crncycntry,Country Currency,
